dir,right,left,front,angle,target
-1,0,0,0,0.9755627480278026,0
-1,0,0,0,-0.5485897903475289,1
1,0,1,0,-0.05256845671125345,0
0,0,0,0,-0.5779791303773694,0
-1,0,0,0,-0.6024163823495667,1
1,0,0,0,-0.11101725845499978,0
1,0,0,0,-0.6357997487800918,0
0,1,0,0,0.8743340836219977,0
0,0,0,0,0.8831249387476566,0
-1,0,0,0,0.8908120885663706,0
1,0,0,0,-0.6288810584091566,0
1,0,0,0,0.8788810584091566,1
0,1,0,0,0.39758361765043326,1
0,0,0,0,0.41704768234368034,1
1,0,0,0,0.4371670418109989,1
-1,0,0,0,-0.06719309487228936,1
0,0,0,0,0.4548327646991334,1
1,0,0,0,0.4773021290001396,1
1,0,0,0,-0.024437251972197357,0
0,1,0,0,-0.5485897903475289,0
1,1,0,0,-0.5721923155106472,-1
-1,0,0,0,-0.17780768448935277,1
-1,0,0,0,0.33690136920671515,0
-1,0,1,0,0.8450151609391798,-1
0,0,0,0,0.12433408362199763,1
1,0,0,0,0.13127432072587122,1
1,0,0,0,-0.3857997487800919,0
1,1,0,0,-0.8919998065101323,-1
0,0,0,0,0.7698685243055409,0
0,0,0,0,0.7788579383763046,0
0,0,0,0,0.7872768711542052,0
1,0,0,0,0.7951672353008665,1
-1,0,0,0,0.30559988778578523,0
0,0,0,0,0.8128329581890013,0
1,0,0,0,0.8196044872730639,1
-1,0,0,0,0.33011540626394986,0
0,0,0,0,0.8362450610930792,0
0,0,0,0,0.8419837298646481,0
1,0,0,0,0.8473642687429048,1
1,0,0,0,0.35754996764274843,1
-1,1,0,0,-0.1475836176504333,1
-1,0,0,0,0.3632024178546467,0
-1,0,1,0,0.8680583639285181,-1
-1,0,0,0,0.23902814438398903,0
-1,0,0,0,0.75,0
0,0,1,0,-0.7602645014777478,0
1,0,1,0,-0.7698685243055409,0
0,0,0,0,0.7403571967281757,0
-1,0,0,0,0.75,0
0,0,0,0,-0.7590920946756484,0
1,0,0,0,-0.7676657228881346,0
-1,0,0,0,0.741399123894567,0
1,0,0,0,-0.7667377083565741,0
0,0,0,0,0.74183999603119,0
0,0,0,0,0.75,0
1,0,0,0,0.7577621168183132,1
0,0,0,0,0.2659022512561764,1
-1,0,0,0,0.2744372519721974,0
-1,0,0,0,0.7817255174305535,0
0,0,1,0,-0.7267504659715645,0
0,0,1,0,-0.7348538278116319,0
0,0,0,0,-0.7425987785896131,0
1,0,0,0,-0.75,0
0,0,0,0,0.7570723890003151,0
0,0,0,0,0.7638308495666619,0
1,0,0,0,0.7702901265572574,1
-1,0,0,0,0.27760967071172393,0
0,0,0,0,0.7837358689289318,0
-1,0,0,0,0.7895834241605656,0
1,0,0,0,-0.7176314331691346,0
0,0,0,0,0.7880154078479497,0
1,0,0,0,0.7934182974820382,1
1,0,0,0,0.3005015384490129,1
-1,1,0,1,-0.20483276469913345,1
1,0,0,0,0.30256845671125343,1
0,1,0,0,-0.2029380853721398,1
0,1,0,0,-0.20871440016015272,1
1,0,0,0,-0.21477671252272273,0
-1,0,0,0,-0.7223903292882761,1
-1,0,0,0,-0.22881069536505358,1
-1,0,1,0,0.27885793837630446,-1
-1,0,0,0,0.9548327646991335,0
-1,0,0,0,-0.5671930948722894,1
1,0,1,0,-0.07219231551064724,0
-1,0,0,0,-0.5950151609391798,1
1,0,0,0,-0.10241638234956671,0
1,0,0,0,-0.6256659163780023,0
-1,1,0,0,0.8831249387476566,0
0,0,0,0,-0.637639669826844,0
-1,0,0,0,-0.6572264209222576,1
1,0,0,0,-0.16809131757516263,0
0,0,0,0,-0.6871670418109987,0
0,0,0,0,-0.7048327646991335,0
1,0,0,0,-0.7211420616236954,0
1,0,0,0,0.7912855998398473,1
0,1,0,0,0.30724914704870027,1
1,1,0,1,0.3244027652986173,-1
-1,0,0,0,-0.9220208696226306,1
0,0,0,0,-0.4604165758394345,1
1,0,0,0,-0.5,0
0,0,0,0,1.0,0
-1,0,0,0,1.0,0
0,0,0,0,-0.5317255174305535,0
1,0,0,0,-0.562832958189001,0
1,0,0,0,0.9427508529512999,1
-1,1,0,0,0.4711420616236956,0
-1,0,0,0,0.9735353239404101,0
0,0,1,0,-0.5525684567112534,0
1,0,0,0,-0.5779791303773694,0
